Time,Quaternions, Accelaration 
[2023-07-26 15:57:03.946569],[0.781,-0.081,-0.531,-0.319], [0.054,0.945,0.253]
[2023-07-26 15:57:04.046822],[0.781,-0.082,-0.530,-0.319], [0.073,0.943,0.264]
[2023-07-26 15:57:04.147071],[0.781,-0.082,-0.530,-0.320], [0.097,0.934,0.298]
[2023-07-26 15:57:04.247320],[0.781,-0.082,-0.530,-0.320], [0.121,0.954,0.252]
[2023-07-26 15:57:04.347569],[0.781,-0.082,-0.530,-0.320], [0.058,0.935,0.275]
[2023-07-26 15:57:04.447817],[0.781,-0.082,-0.530,-0.320], [0.076,0.938,0.312]
[2023-07-26 15:57:04.548068],[0.781,-0.082,-0.530,-0.320], [0.042,0.945,0.349]
[2023-07-26 15:57:04.648337],[0.780,-0.082,-0.531,-0.320], [0.035,0.948,0.320]
[2023-07-26 15:57:04.748583],[0.780,-0.083,-0.531,-0.320], [0.081,0.951,0.276]
[2023-07-26 15:57:04.848833],[0.780,-0.083,-0.532,-0.320], [0.050,0.957,0.273]
[2023-07-26 15:57:04.949078],[0.780,-0.083,-0.531,-0.320], [0.017,0.944,0.305]
[2023-07-26 15:57:05.049324],[0.779,-0.082,-0.532,-0.321], [0.027,0.946,0.311]
[2023-07-26 15:57:05.149581],[0.779,-0.082,-0.532,-0.321], [0.034,0.945,0.300]
[2023-07-26 15:57:05.249834],[0.779,-0.082,-0.532,-0.322], [0.053,0.944,0.282]
[2023-07-26 15:57:05.350083],[0.779,-0.082,-0.532,-0.321], [0.062,0.938,0.310]
[2023-07-26 15:57:05.450331],[0.779,-0.083,-0.532,-0.322], [0.075,0.947,0.316]
[2023-07-26 15:57:05.550583],[0.779,-0.083,-0.532,-0.322], [0.075,0.954,0.245]
[2023-07-26 15:57:05.650834],[0.779,-0.082,-0.532,-0.322], [0.063,0.949,0.277]
[2023-07-26 15:57:05.751083],[0.779,-0.082,-0.532,-0.322], [0.052,0.956,0.290]
[2023-07-26 15:57:05.851333],[0.780,-0.081,-0.532,-0.321], [0.113,0.961,0.248]
[2023-07-26 15:57:05.951580],[0.781,-0.081,-0.529,-0.320], [0.081,0.888,0.263]
[2023-07-26 15:57:06.051838],[0.782,-0.081,-0.528,-0.319], [0.134,0.937,0.101]
[2023-07-26 15:57:06.152087],[0.783,-0.082,-0.527,-0.321], [0.097,0.956,0.233]
[2023-07-26 15:57:06.252338],[0.784,-0.082,-0.526,-0.321], [-0.006,0.942,0.309]
[2023-07-26 15:57:06.352589],[0.785,-0.083,-0.523,-0.322], [0.067,0.935,0.274]
[2023-07-26 15:57:06.452840],[0.784,-0.083,-0.524,-0.322], [-0.009,0.921,0.217]
[2023-07-26 15:57:06.553086],[0.784,-0.083,-0.525,-0.320], [0.085,0.956,0.305]
[2023-07-26 15:57:06.653339],[0.784,-0.085,-0.524,-0.320], [0.150,0.935,0.286]
[2023-07-26 15:57:06.753590],[0.784,-0.086,-0.525,-0.321], [0.102,0.948,0.310]
[2023-07-26 15:57:06.853838],[0.783,-0.086,-0.526,-0.320], [0.070,0.929,0.434]
[2023-07-26 15:57:06.954087],[0.782,-0.087,-0.528,-0.319], [0.051,0.950,0.257]
[2023-07-26 15:57:07.054341],[0.782,-0.088,-0.530,-0.317], [0.009,0.946,0.287]
[2023-07-26 15:57:07.154593],[0.781,-0.089,-0.531,-0.316], [0.092,0.955,0.254]
[2023-07-26 15:57:07.254842],[0.780,-0.089,-0.533,-0.315], [0.033,0.942,0.255]
[2023-07-26 15:57:07.355091],[0.780,-0.089,-0.534,-0.314], [0.081,0.958,0.253]
[2023-07-26 15:57:07.455346],[0.779,-0.092,-0.538,-0.309], [0.132,0.954,0.265]
[2023-07-26 15:57:07.555593],[0.778,-0.093,-0.540,-0.307], [0.078,0.940,0.261]
[2023-07-26 15:57:07.655851],[0.778,-0.093,-0.540,-0.307], [0.096,0.957,0.254]
[2023-07-26 15:57:07.756101],[0.778,-0.092,-0.541,-0.306], [0.085,0.948,0.266]
[2023-07-26 15:57:07.856347],[0.778,-0.092,-0.540,-0.306], [0.066,0.948,0.237]
[2023-07-26 15:57:07.956599],[0.779,-0.091,-0.540,-0.306], [0.089,0.949,0.269]
[2023-07-26 15:57:08.056846],[0.778,-0.091,-0.541,-0.306], [0.101,0.950,0.257]
[2023-07-26 15:57:08.157094],[0.777,-0.091,-0.543,-0.304], [0.129,0.933,0.287]
[2023-07-26 15:57:08.257344],[0.777,-0.088,-0.544,-0.306], [0.099,0.959,0.293]
[2023-07-26 15:57:08.357591],[0.776,-0.086,-0.543,-0.309], [0.070,0.938,0.279]
[2023-07-26 15:57:08.457842],[0.776,-0.083,-0.540,-0.313], [0.048,0.947,0.282]
[2023-07-26 15:57:08.558093],[0.777,-0.082,-0.540,-0.314], [0.079,0.930,0.243]
[2023-07-26 15:57:08.658345],[0.776,-0.082,-0.540,-0.314], [0.071,0.937,0.303]
[2023-07-26 15:57:08.758606],[0.776,-0.081,-0.540,-0.315], [0.045,0.947,0.259]
[2023-07-26 15:57:08.858862],[0.776,-0.082,-0.539,-0.316], [0.098,0.949,0.305]
[2023-07-26 15:57:08.959114],[0.776,-0.082,-0.539,-0.317], [0.072,0.951,0.257]
[2023-07-26 15:57:09.059363],[0.776,-0.082,-0.538,-0.318], [0.094,0.954,0.329]
[2023-07-26 15:57:09.159626],[0.776,-0.082,-0.538,-0.320], [0.064,0.950,0.256]
[2023-07-26 15:57:09.259875],[0.775,-0.082,-0.538,-0.321], [0.074,0.950,0.221]
[2023-07-26 15:57:09.360125],[0.775,-0.082,-0.539,-0.321], [0.133,0.958,0.208]
