Time,Quaternions, Accelaration 
[2023-07-27 14:00:49.996654],[0.959,-0.105,-0.098,0.245], [0.012,-0.074,1.030]
[2023-07-27 14:00:50.107870],[0.944,-0.092,-0.195,0.251], [0.178,-0.100,1.013]
[2023-07-27 14:00:50.219086],[0.911,-0.070,-0.314,0.259], [0.484,-0.108,0.928]
[2023-07-27 14:00:50.328304],[0.889,-0.055,-0.374,0.259], [0.583,-0.124,0.889]
[2023-07-27 14:00:50.439522],[0.856,-0.029,-0.449,0.255], [0.727,-0.132,0.815]
[2023-07-27 14:00:50.549738],[0.811,-0.006,-0.526,0.255], [0.722,-0.116,0.634]
[2023-07-27 14:00:50.658961],[0.774,0.001,-0.577,0.261], [0.955,-0.157,0.606]
[2023-07-27 14:00:50.770180],[0.767,0.000,-0.585,0.264], [0.918,-0.137,0.521]
[2023-07-27 14:00:50.879404],[0.764,0.003,-0.588,0.267], [0.898,-0.124,0.495]
[2023-07-27 14:00:50.989135],[0.763,0.001,-0.588,0.269], [0.925,-0.142,0.504]
[2023-07-27 14:00:51.098359],[0.768,-0.000,-0.582,0.267], [0.887,-0.153,0.499]
[2023-07-27 14:00:51.206583],[0.769,-0.000,-0.580,0.269], [0.853,-0.158,0.542]
[2023-07-27 14:00:51.317798],[0.776,-0.002,-0.571,0.269], [0.883,-0.137,0.575]
[2023-07-27 14:00:51.427022],[0.794,-0.005,-0.544,0.272], [0.771,-0.143,0.609]
[2023-07-27 14:00:51.537268],[0.835,-0.024,-0.478,0.273], [0.899,-0.107,0.713]
[2023-07-27 14:00:51.648485],[0.870,-0.047,-0.412,0.267], [0.674,-0.129,0.830]
[2023-07-27 14:00:51.756710],[0.922,-0.086,-0.273,0.259], [0.431,-0.138,1.083]
[2023-07-27 14:00:51.867928],[0.951,-0.114,-0.137,0.251], [0.082,-0.095,1.020]
[2023-07-27 14:00:51.978147],[0.956,-0.126,-0.084,0.251], [-0.010,-0.083,0.939]
[2023-07-27 14:00:52.086372],[0.955,-0.124,-0.087,0.255], [0.031,-0.093,0.999]
[2023-07-27 14:00:52.194110],[0.956,-0.130,-0.074,0.254], [0.089,-0.115,1.086]
[2023-07-27 14:00:52.304330],[0.960,-0.138,-0.018,0.243], [-0.161,-0.097,1.017]
[2023-07-27 14:00:52.413551],[0.960,-0.144,0.018,0.238], [-0.206,-0.076,1.000]
[2023-07-27 14:00:52.522775],[0.956,-0.157,0.087,0.231], [-0.379,-0.079,0.988]
[2023-07-27 14:00:52.632995],[0.937,-0.176,0.216,0.211], [-0.446,-0.054,0.840]
[2023-07-27 14:00:52.742216],[0.904,-0.190,0.333,0.191], [-0.908,-0.042,0.679]
[2023-07-27 14:00:52.853434],[0.861,-0.195,0.439,0.170], [-0.910,-0.017,0.478]
[2023-07-27 14:00:52.964655],[0.837,-0.190,0.486,0.162], [-0.866,-0.010,0.351]
[2023-07-27 14:00:53.074871],[0.827,-0.184,0.505,0.164], [-0.924,0.044,0.380]
[2023-07-27 14:00:53.186091],[0.826,-0.185,0.508,0.161], [-0.941,0.026,0.350]
[2023-07-27 14:00:53.295825],[0.828,-0.182,0.506,0.158], [-0.959,0.025,0.358]
[2023-07-27 14:00:53.405058],[0.839,-0.176,0.491,0.158], [-0.981,0.029,0.375]
[2023-07-27 14:00:53.516276],[0.863,-0.171,0.445,0.167], [-1.076,0.010,0.452]
[2023-07-27 14:00:53.626494],[0.886,-0.166,0.394,0.181], [-0.706,0.011,0.598]
[2023-07-27 14:00:53.735715],[0.917,-0.153,0.308,0.202], [-0.862,0.012,0.629]
[2023-07-27 14:00:53.843979],[0.945,-0.136,0.191,0.228], [-0.706,0.016,0.804]
[2023-07-27 14:00:53.954200],[0.962,-0.101,0.004,0.254], [-0.316,-0.005,0.877]
[2023-07-27 14:00:54.065416],[0.956,-0.090,-0.089,0.266], [-0.039,-0.042,1.037]
[2023-07-27 14:00:54.176633],[0.952,-0.093,-0.115,0.267], [0.074,-0.064,1.068]
[2023-07-27 14:00:54.287896],[0.953,-0.094,-0.126,0.260], [0.096,-0.082,0.994]
[2023-07-27 14:00:54.398677],[0.955,-0.092,-0.147,0.240], [0.164,-0.071,1.066]
[2023-07-27 14:00:54.509890],[0.961,-0.100,-0.142,0.214], [0.170,-0.115,1.030]
[2023-07-27 14:00:54.621106],[0.961,-0.106,-0.158,0.202], [0.120,-0.060,1.085]
[2023-07-27 14:00:54.732324],[0.960,-0.115,-0.164,0.197], [0.194,-0.062,1.068]
[2023-07-27 14:00:54.842572],[0.961,-0.125,-0.155,0.190], [0.034,-0.158,1.067]
[2023-07-27 14:00:54.953788],[0.961,-0.135,-0.149,0.188], [0.077,-0.166,1.033]
[2023-07-27 14:00:55.064009],[0.963,-0.138,-0.143,0.184], [0.100,-0.203,0.992]
[2023-07-27 14:00:55.173231],[0.963,-0.138,-0.140,0.183], [0.130,-0.187,1.057]
[2023-07-27 14:00:55.284449],[0.962,-0.135,-0.152,0.180], [0.119,-0.155,1.031]
[2023-07-27 14:00:55.394670],[0.962,-0.134,-0.161,0.178], [0.251,-0.172,1.042]
