Time,Quaternions, Accelaration 
[2023-07-26 15:36:57.954911],[0.971,-0.059,-0.074,-0.218], [-0.201,0.044,1.018]
[2023-07-26 15:36:58.062693],[0.971,-0.060,-0.073,-0.220], [-0.196,0.029,1.021]
[2023-07-26 15:36:58.171972],[0.971,-0.060,-0.068,-0.221], [-0.142,0.050,1.023]
[2023-07-26 15:36:58.279232],[0.972,-0.060,-0.047,-0.223], [-0.253,0.021,1.020]
[2023-07-26 15:36:58.387586],[0.972,-0.060,-0.042,-0.224], [-0.257,0.021,1.013]
[2023-07-26 15:36:58.502725],[0.972,-0.061,-0.041,-0.224], [-0.280,0.010,1.030]
[2023-07-26 15:36:58.621903],[0.972,-0.061,-0.045,-0.222], [-0.282,0.019,0.984]
[2023-07-26 15:36:58.731839],[0.972,-0.060,-0.050,-0.221], [-0.223,0.030,1.001]
[2023-07-26 15:36:58.841941],[0.972,-0.061,-0.048,-0.221], [-0.202,0.023,1.008]
[2023-07-26 15:36:58.957061],[0.972,-0.061,-0.045,-0.221], [-0.238,0.016,1.020]
[2023-07-26 15:36:59.063117],[0.972,-0.057,-0.044,-0.225], [-0.238,0.032,1.013]
[2023-07-26 15:36:59.164687],[0.970,-0.052,-0.040,-0.233], [-0.271,0.035,1.003]
[2023-07-26 15:36:59.274207],[0.971,-0.053,-0.042,-0.231], [-0.277,0.024,1.011]
[2023-07-26 15:36:59.381786],[0.972,-0.059,-0.053,-0.222], [-0.197,0.021,1.047]
[2023-07-26 15:36:59.492116],[0.972,-0.062,-0.056,-0.219], [-0.216,0.027,1.021]
[2023-07-26 15:36:59.599593],[0.972,-0.062,-0.054,-0.220], [-0.235,0.027,1.023]
[2023-07-26 15:36:59.714204],[0.972,-0.060,-0.054,-0.220], [-0.245,0.028,1.048]
[2023-07-26 15:36:59.827746],[0.972,-0.062,-0.058,-0.217], [-0.220,0.058,0.956]
[2023-07-26 15:36:59.936212],[0.972,-0.066,-0.061,-0.215], [-0.206,0.026,1.017]
[2023-07-26 15:37:00.050856],[0.972,-0.066,-0.059,-0.216], [-0.218,0.046,1.010]
[2023-07-26 15:37:00.162397],[0.973,-0.065,-0.055,-0.216], [-0.232,0.029,1.019]
[2023-07-26 15:37:00.274287],[0.973,-0.065,-0.054,-0.215], [-0.170,0.016,1.001]
[2023-07-26 15:37:00.386778],[0.974,-0.066,-0.071,-0.204], [-0.322,0.045,1.023]
[2023-07-26 15:37:00.497352],[0.973,-0.067,-0.082,-0.203], [-0.087,-0.008,0.985]
[2023-07-26 15:37:00.608999],[0.972,-0.063,-0.081,-0.214], [-0.098,0.087,1.010]
[2023-07-26 15:37:00.713776],[0.971,-0.063,-0.073,-0.218], [-0.253,0.016,1.027]
[2023-07-26 15:37:00.821650],[0.971,-0.066,-0.074,-0.215], [-0.171,0.014,1.032]
[2023-07-26 15:37:00.930454],[0.971,-0.067,-0.074,-0.216], [-0.210,0.035,1.014]
[2023-07-26 15:37:01.043480],[0.971,-0.067,-0.074,-0.216], [-0.187,0.033,1.023]
[2023-07-26 15:37:01.154490],[0.971,-0.065,-0.070,-0.218], [-0.244,0.009,1.028]
[2023-07-26 15:37:01.275572],[0.970,-0.056,-0.067,-0.226], [-0.251,0.059,1.003]
[2023-07-26 15:37:01.389821],[0.970,-0.056,-0.066,-0.227], [-0.199,0.040,1.046]
[2023-07-26 15:37:01.498193],[0.970,-0.057,-0.066,-0.227], [-0.216,0.030,1.020]
[2023-07-26 15:37:01.607319],[0.970,-0.058,-0.067,-0.227], [-0.209,0.044,1.012]
[2023-07-26 15:37:01.717228],[0.970,-0.058,-0.067,-0.227], [-0.214,0.039,1.017]
[2023-07-26 15:37:01.827536],[0.970,-0.059,-0.069,-0.226], [-0.213,0.033,1.017]
[2023-07-26 15:37:01.933075],[0.970,-0.060,-0.074,-0.226], [-0.194,0.038,1.015]
[2023-07-26 15:37:02.035030],[0.969,-0.060,-0.081,-0.225], [-0.190,0.040,1.001]
[2023-07-26 15:37:02.147581],[0.969,-0.060,-0.088,-0.222], [-0.146,0.049,1.035]
[2023-07-26 15:37:02.255268],[0.969,-0.061,-0.090,-0.220], [-0.174,0.039,1.036]
[2023-07-26 15:37:02.364518],[0.969,-0.062,-0.092,-0.219], [-0.175,0.044,1.029]
[2023-07-26 15:37:02.474429],[0.970,-0.062,-0.096,-0.216], [-0.149,0.053,1.034]
[2023-07-26 15:37:02.583661],[0.969,-0.066,-0.102,-0.214], [-0.149,0.034,1.027]
[2023-07-26 15:37:02.695722],[0.969,-0.063,-0.099,-0.217], [-0.209,0.023,1.065]
[2023-07-26 15:37:02.809608],[0.968,-0.063,-0.098,-0.222], [-0.199,0.028,1.016]
[2023-07-26 15:37:02.918936],[0.968,-0.063,-0.097,-0.223], [-0.143,0.058,1.033]
[2023-07-26 15:37:03.026401],[0.968,-0.066,-0.097,-0.220], [-0.152,0.030,1.017]
[2023-07-26 15:37:03.134123],[0.969,-0.065,-0.095,-0.221], [-0.142,0.037,1.033]
[2023-07-26 15:37:03.242562],[0.968,-0.063,-0.091,-0.223], [-0.219,0.042,1.031]
[2023-07-26 15:37:03.342873],[0.969,-0.062,-0.088,-0.225], [-0.187,0.043,1.028]
[2023-07-26 15:37:03.445113],[0.969,-0.061,-0.080,-0.227], [-0.203,0.039,1.021]
[2023-07-26 15:37:03.556030],[0.970,-0.058,-0.055,-0.230], [-0.265,0.023,1.025]
[2023-07-26 15:37:03.661150],[0.970,-0.057,-0.043,-0.232], [-0.276,0.027,1.004]
[2023-07-26 15:37:03.774364],[0.971,-0.058,-0.050,-0.227], [-0.287,0.087,1.055]
[2023-07-26 15:37:03.884293],[0.971,-0.068,-0.084,-0.215], [0.007,0.057,0.941]
[2023-07-26 15:37:03.996239],[0.970,-0.066,-0.082,-0.218], [-0.295,0.018,1.082]
[2023-07-26 15:37:04.103762],[0.969,-0.063,-0.081,-0.224], [-0.248,0.014,1.003]
[2023-07-26 15:37:04.212589],[0.969,-0.066,-0.085,-0.221], [-0.225,0.074,0.978]
[2023-07-26 15:37:04.323445],[0.970,-0.071,-0.089,-0.215], [-0.159,0.056,0.999]
[2023-07-26 15:37:04.434818],[0.970,-0.075,-0.093,-0.211], [-0.150,0.048,1.005]
